UNIQUE_ID,NOME,REGIAO,UF,ESTADO
4206009,Governador Celso Ramos,Grande Florianópolis,SC,Santa Catarina
4212304,Paulo Lopes,Grande Florianópolis,SC,Santa Catarina
4217253,São Pedro de Alcântara,Grande Florianópolis,SC,Santa Catarina
4218004,Tijucas,Grande Florianópolis,SC,Santa Catarina
4216602,São José,Grande Florianópolis,SC,Santa Catarina
4203709,Canelinha,Grande Florianópolis,SC,Santa Catarina
4210209,Major Gercino,Grande Florianópolis,SC,Santa Catarina
4216305,São João Batista,Grande Florianópolis,SC,Santa Catarina
4202305,Biguaçu,Grande Florianópolis,SC,Santa Catarina
4201208,Antônio Carlos,Grande Florianópolis,SC,Santa Catarina
4201109,Anitápolis,Grande Florianópolis,SC,Santa Catarina
4215703,Santo Amaro da Imperatriz,Grande Florianópolis,SC,Santa Catarina
4215901,São Bonifácio,Grande Florianópolis,SC,Santa Catarina
4214300,Rancho Queimado,Grande Florianópolis,SC,Santa Catarina
4211504,Nova Trento,Grande Florianópolis,SC,Santa Catarina
4205407,Florianópolis,Grande Florianópolis,SC,Santa Catarina
4200903,Angelina,Grande Florianópolis,SC,Santa Catarina
4200606,Águas Mornas,Grande Florianópolis,SC,Santa Catarina
4211900,Palhoça,Grande Florianópolis,SC,Santa Catarina
4209805,Leoberto Leal,Grande Florianópolis,SC,Santa Catarina
4200705,Alfredo Wagner,Grande Florianópolis,SC,Santa Catarina
4205803,Garuva,Norte Catarinense,SC,Santa Catarina
4217402,Schroeder,Norte Catarinense,SC,Santa Catarina
4215000,Rio Negrinho,Norte Catarinense,SC,Santa Catarina
4206504,Guaramirim,Norte Catarinense,SC,Santa Catarina
4208906,Jaraguá do Sul,Norte Catarinense,SC,Santa Catarina
4203303,Campo Alegre,Norte Catarinense,SC,Santa Catarina
4216206,São Francisco do Sul,Norte Catarinense,SC,Santa Catarina
4208450,Itapoá,Norte Catarinense,SC,Santa Catarina
4215802,São Bento do Sul,Norte Catarinense,SC,Santa Catarina
4204509,Corupá,Norte Catarinense,SC,Santa Catarina
4203808,Canoinhas,Norte Catarinense,SC,Santa Catarina
4213609,Porto União,Norte Catarinense,SC,Santa Catarina
4208104,Itaiópolis,Norte Catarinense,SC,Santa Catarina
4207908,Irineópolis,Norte Catarinense,SC,Santa Catarina
4215679,Santa Terezinha,Norte Catarinense,SC,Santa Catarina
4209102,Joinville,Norte Catarinense,SC,Santa Catarina
4202131,Bela Vista do Toldo,Norte Catarinense,SC,Santa Catarina
4218251,Timbó Grande,Norte Catarinense,SC,Santa Catarina
4202057,Balneário Barra do Sul,Norte Catarinense,SC,Santa Catarina
4211108,Monte Castelo,Norte Catarinense,SC,Santa Catarina
4210100,Mafra,Norte Catarinense,SC,Santa Catarina
4210308,Major Vieira,Norte Catarinense,SC,Santa Catarina
4212205,Papanduva,Norte Catarinense,SC,Santa Catarina
4218301,Três Barras,Norte Catarinense,SC,Santa Catarina
4210605,Massaranduba,Norte Catarinense,SC,Santa Catarina
4201307,Araquari,Norte Catarinense,SC,Santa Catarina
4214201,Quilombo,Oeste Catarinense,SC,Santa Catarina
4210902,Modelo,Oeste Catarinense,SC,Santa Catarina
4207601,Ipira,Oeste Catarinense,SC,Santa Catarina
4212106,Palmitos,Oeste Catarinense,SC,Santa Catarina
4214151,Princesa,Oeste Catarinense,SC,Santa Catarina
4207650,Iporã do Oeste,Oeste Catarinense,SC,Santa Catarina
4207577,Iomerê,Oeste Catarinense,SC,Santa Catarina
4213906,Presidente Castello Branco,Oeste Catarinense,SC,Santa Catarina
4211009,Mondaí,Oeste Catarinense,SC,Santa Catarina
4212007,Palma Sola,Oeste Catarinense,SC,Santa Catarina
4214409,Rio das Antas,Oeste Catarinense,SC,Santa Catarina
4206801,Ibicaré,Oeste Catarinense,SC,Santa Catarina
4206751,Ibiam,Oeste Catarinense,SC,Santa Catarina
4206702,Herval d'Oeste,Oeste Catarinense,SC,Santa Catarina
4211876,Paial,Oeste Catarinense,SC,Santa Catarina
4206652,Guatambú,Oeste Catarinense,SC,Santa Catarina
4211405,Nova Erechim,Oeste Catarinense,SC,Santa Catarina
4206603,Guarujá do Sul,Oeste Catarinense,SC,Santa Catarina
4211454,Nova Itaberaba,Oeste Catarinense,SC,Santa Catarina
4206405,Guaraciaba,Oeste Catarinense,SC,Santa Catarina
4215075,Riqueza,Oeste Catarinense,SC,Santa Catarina
4211850,Ouro Verde,Oeste Catarinense,SC,Santa Catarina
4207684,Ipuaçu,Oeste Catarinense,SC,Santa Catarina
4207700,Ipumirim,Oeste Catarinense,SC,Santa Catarina
4210704,Matos Costa,Oeste Catarinense,SC,Santa Catarina
4207809,Irani,Oeste Catarinense,SC,Santa Catarina
4219705,Xaxim,Oeste Catarinense,SC,Santa Catarina
4212270,Passos Maia,Oeste Catarinense,SC,Santa Catarina
4212601,Peritiba,Oeste Catarinense,SC,Santa Catarina
4209458,Lajeado Grande,Oeste Catarinense,SC,Santa Catarina
4212908,Pinhalzinho,Oeste Catarinense,SC,Santa Catarina
4212239,Paraíso,Oeste Catarinense,SC,Santa Catarina
4213005,Pinheiro Preto,Oeste Catarinense,SC,Santa Catarina
4210035,Luzerna,Oeste Catarinense,SC,Santa Catarina
4209201,Lacerdópolis,Oeste Catarinense,SC,Santa Catarina
4209177,Jupiá,Oeste Catarinense,SC,Santa Catarina
4213104,Piratuba,Oeste Catarinense,SC,Santa Catarina
4207759,Iraceminha,Oeste Catarinense,SC,Santa Catarina
4215208,Romelândia,Oeste Catarinense,SC,Santa Catarina
4208955,Jardinópolis,Oeste Catarinense,SC,Santa Catarina
4213153,Planalto Alegre,Oeste Catarinense,SC,Santa Catarina
4210050,Macieira,Oeste Catarinense,SC,Santa Catarina
4208609,Jaborá,Oeste Catarinense,SC,Santa Catarina
4208401,Itapiranga,Oeste Catarinense,SC,Santa Catarina
4213401,Ponte Serrada,Oeste Catarinense,SC,Santa Catarina
4210506,Maravilha,Oeste Catarinense,SC,Santa Catarina
4210555,Marema,Oeste Catarinense,SC,Santa Catarina
4208005,Itá,Oeste Catarinense,SC,Santa Catarina
4209854,Lindóia do Sul,Oeste Catarinense,SC,Santa Catarina
4207858,Irati,Oeste Catarinense,SC,Santa Catarina
4209003,Joaçaba,Oeste Catarinense,SC,Santa Catarina
4209706,Lebon Régis,Oeste Catarinense,SC,Santa Catarina
4205357,Flor do Sertão,Oeste Catarinense,SC,Santa Catarina
4215406,Salto Veloso,Oeste Catarinense,SC,Santa Catarina
4202099,Barra Bonita,Oeste Catarinense,SC,Santa Catarina
4217956,Tigrinhos,Oeste Catarinense,SC,Santa Catarina
4202156,Belmonte,Oeste Catarinense,SC,Santa Catarina
4217907,Tangará,Oeste Catarinense,SC,Santa Catarina
4217758,Sul Brasil,Oeste Catarinense,SC,Santa Catarina
4217550,Serra Alta,Oeste Catarinense,SC,Santa Catarina
4202081,Bandeirante,Oeste Catarinense,SC,Santa Catarina
4217501,Seara,Oeste Catarinense,SC,Santa Catarina
4202578,Bom Jesus do Oeste,Oeste Catarinense,SC,Santa Catarina
4217303,Saudades,Oeste Catarinense,SC,Santa Catarina
4217204,São Miguel do Oeste,Oeste Catarinense,SC,Santa Catarina
4217154,São Miguel da Boa Vista,Oeste Catarinense,SC,Santa Catarina
4216909,São Lourenço do Oeste,Oeste Catarinense,SC,Santa Catarina
4215356,Saltinho,Oeste Catarinense,SC,Santa Catarina
4202537,Bom Jesus,Oeste Catarinense,SC,Santa Catarina
4203006,Caçador,Oeste Catarinense,SC,Santa Catarina
4218509,Treze Tílias,Oeste Catarinense,SC,Santa Catarina
4218855,União do Oeste,Oeste Catarinense,SC,Santa Catarina
4200101,Abelardo Luz,Oeste Catarinense,SC,Santa Catarina
4219606,Xavantina,Oeste Catarinense,SC,Santa Catarina
4219507,Xanxerê,Oeste Catarinense,SC,Santa Catarina
4200408,Água Doce,Oeste Catarinense,SC,Santa Catarina
4200507,Águas de Chapecó,Oeste Catarinense,SC,Santa Catarina
4200556,Águas Frias,Oeste Catarinense,SC,Santa Catarina
4218756,Tunápolis,Oeste Catarinense,SC,Santa Catarina
4200754,Alto Bela Vista,Oeste Catarinense,SC,Santa Catarina
4219309,Videira,Oeste Catarinense,SC,Santa Catarina
4219176,Vargem Bonita,Oeste Catarinense,SC,Santa Catarina
4201273,Arabutã,Oeste Catarinense,SC,Santa Catarina
4219101,Vargeão,Oeste Catarinense,SC,Santa Catarina
4201604,Arroio Trinta,Oeste Catarinense,SC,Santa Catarina
4201653,Arvoredo,Oeste Catarinense,SC,Santa Catarina
4200804,Anchieta,Oeste Catarinense,SC,Santa Catarina
4203105,Caibi,Oeste Catarinense,SC,Santa Catarina
4211801,Ouro,Oeste Catarinense,SC,Santa Catarina
4216701,São José do Cedro,Oeste Catarinense,SC,Santa Catarina
4215687,Santa Terezinha do Progresso,Oeste Catarinense,SC,Santa Catarina
4211652,Novo Horizonte,Oeste Catarinense,SC,Santa Catarina
4205175,Entre Rios,Oeste Catarinense,SC,Santa Catarina
4215695,Santiago do Sul,Oeste Catarinense,SC,Santa Catarina
4205001,Dionísio Cerqueira,Oeste Catarinense,SC,Santa Catarina
4204905,Descanso,Oeste Catarinense,SC,Santa Catarina
4205431,Formosa do Sul,Oeste Catarinense,SC,Santa Catarina
4203154,Calmon,Oeste Catarinense,SC,Santa Catarina
4204756,Cunhataí,Oeste Catarinense,SC,Santa Catarina
4204707,Cunha Porã,Oeste Catarinense,SC,Santa Catarina
4215752,São Bernardino,Oeste Catarinense,SC,Santa Catarina
4204459,Coronel Martins,Oeste Catarinense,SC,Santa Catarina
4205308,Faxinal dos Guedes,Oeste Catarinense,SC,Santa Catarina
4204400,Coronel Freitas,Oeste Catarinense,SC,Santa Catarina
4204301,Concórdia,Oeste Catarinense,SC,Santa Catarina
4216008,São Carlos,Oeste Catarinense,SC,Santa Catarina
4204202,Chapecó,Oeste Catarinense,SC,Santa Catarina
4205506,Fraiburgo,Oeste Catarinense,SC,Santa Catarina
4216107,São Domingos,Oeste Catarinense,SC,Santa Catarina
4204103,Caxambu do Sul,Oeste Catarinense,SC,Santa Catarina
4204004,Catanduvas,Oeste Catarinense,SC,Santa Catarina
4203907,Capinzal,Oeste Catarinense,SC,Santa Catarina
4216255,São João do Oeste,Oeste Catarinense,SC,Santa Catarina
4215554,Santa Helena,Oeste Catarinense,SC,Santa Catarina
4205605,Galvão,Oeste Catarinense,SC,Santa Catarina
4203501,Campo Erê,Oeste Catarinense,SC,Santa Catarina
4204350,Cordilheira Alta,Oeste Catarinense,SC,Santa Catarina
4205209,Erval Velho,Oeste Catarinense,SC,Santa Catarina
4211892,Painel,Serrana,SC,Santa Catarina
4215505,Santa Cecília,Serrana,SC,Santa Catarina
4218905,Urubici,Serrana,SC,Santa Catarina
4212056,Palmeira,Serrana,SC,Santa Catarina
4219150,Vargem,Serrana,SC,Santa Catarina
4218954,Urupema,Serrana,SC,Santa Catarina
4216057,São Cristóvão do Sul,Serrana,SC,Santa Catarina
4216503,São Joaquim,Serrana,SC,Santa Catarina
4213351,Ponte Alta do Norte,Serrana,SC,Santa Catarina
4213302,Ponte Alta,Serrana,SC,Santa Catarina
4215059,Rio Rufino,Serrana,SC,Santa Catarina
4216800,São José do Cerrito,Serrana,SC,Santa Catarina
4200051,Abdon Batista,Serrana,SC,Santa Catarina
4219853,Zortéa,Serrana,SC,Santa Catarina
4202875,Brunópolis,Serrana,SC,Santa Catarina
4203253,Capão Alto,Serrana,SC,Santa Catarina
4204152,Celso Ramos,Serrana,SC,Santa Catarina
4209300,Lages,Serrana,SC,Santa Catarina
4202602,Bom Retiro,Serrana,SC,Santa Catarina
4202503,Bom Jardim da Serra,Serrana,SC,Santa Catarina
4202438,Bocaina do Sul,Serrana,SC,Santa Catarina
4204178,Cerro Negro,Serrana,SC,Santa Catarina
4204558,Correia Pinto,Serrana,SC,Santa Catarina
4203402,Campo Belo do Sul,Serrana,SC,Santa Catarina
4203600,Campos Novos,Serrana,SC,Santa Catarina
4211751,Otacílio Costa,Serrana,SC,Santa Catarina
4211058,Monte Carlo,Serrana,SC,Santa Catarina
4205555,Frei Rogério,Serrana,SC,Santa Catarina
4201000,Anita Garibaldi,Serrana,SC,Santa Catarina
4204806,Curitibanos,Serrana,SC,Santa Catarina
4205191,Ermo,Sul Catarinense,SC,Santa Catarina
4204251,Cocal do Sul,Sul Catarinense,SC,Santa Catarina
4205456,Forquilhinha,Sul Catarinense,SC,Santa Catarina
4215653,Santa Rosa do Sul,Sul Catarinense,SC,Santa Catarina
4215604,Santa Rosa de Lima,Sul Catarinense,SC,Santa Catarina
4205704,Garopaba,Sul Catarinense,SC,Santa Catarina
